date,exchange rate,GDP,Inflation,Export,Import,GrossExtDebt,Interest Trend,GDP in $
2013-08-27,7.992999999999999,381570.54347826086,-0.48709677419354835,158391.6847826087,198016.58695652173,136005.78260869565,15.838709677419354,47738.088762449755
2013-08-28,7.992999999999999,382039.95652173914,-0.5096774193548387,158495.0652173913,198438.91304347827,136042.21739130435,15.870967741935484,47796.81677989981
2013-08-29,7.992999999999999,382509.3695652174,-0.532258064516129,158598.44565217392,198861.23913043478,136078.65217391305,15.903225806451612,47855.54479734986
2013-08-30,7.992999999999999,382978.7826086957,-0.5548387096774193,158701.8260869565,199283.5652173913,136115.08695652173,15.935483870967742,47914.272814799915
2013-08-31,7.992999999999999,383448.1956521739,-0.5774193548387097,158805.20652173914,199705.89130434784,136151.52173913043,15.967741935483872,47973.000832249956
2013-09-01,7.992999999999999,383917.60869565216,-0.6,158908.58695652173,200128.21739130435,136187.95652173914,16.0,48031.72884970001
2013-09-02,7.992999999999999,384387.02173913043,-0.6,159011.96739130435,200550.54347826086,136224.39130434784,15.966666666666667,48090.45686715006
2013-09-03,7.992999999999999,384856.4347826087,-0.6,159115.34782608695,200972.8695652174,136260.8260869565,15.933333333333334,48149.184884600116
2013-09-04,7.992999999999999,385325.847826087,-0.6,159218.72826086957,201395.19565217392,136297.26086956522,15.9,48207.91290205017
2013-09-05,7.992999999999999,385795.2608695652,-0.6,159322.10869565216,201817.52173913043,136333.69565217392,15.866666666666667,48266.64091950021
2013-09-06,7.992999999999999,386264.67391304346,-0.6,159425.48913043478,202239.84782608695,136370.13043478262,15.833333333333334,48325.36893695027
2013-09-07,7.992999999999999,386734.0869565217,-0.6,159528.8695652174,202662.1739130435,136406.5652173913,15.8,48384.09695440032
2013-09-08,7.992999999999999,387203.5,-0.6,159632.25,203084.5,136443.0,15.766666666666667,48442.82497185037
2013-09-09,7.992999999999999,387672.9130434783,-0.6,159735.63043478262,203506.8260869565,136479.4347826087,15.733333333333333,48501.55298930043
2013-09-10,7.992999999999999,388142.32608695654,-0.6,159839.01086956522,203929.15217391305,136515.86956521738,15.7,48560.281006750476
2013-09-11,7.992999999999999,388611.7391304348,-0.6,159942.39130434784,204351.47826086957,136552.30434782608,15.666666666666666,48619.00902420053
2013-09-12,7.992999999999999,389081.152173913,-0.6,160045.77173913043,204773.80434782608,136588.73913043478,15.633333333333333,48677.73704165057
2013-09-13,7.992999999999999,389550.5652173913,-0.6,160149.15217391305,205196.1304347826,136625.1739130435,15.6,48736.46505910063
2013-09-14,7.992999999999999,390019.97826086957,-0.6,160252.53260869565,205618.45652173914,136661.60869565216,15.566666666666666,48795.193076550684
2013-09-15,7.992999999999999,390489.39130434784,-0.6,160355.91304347827,206040.78260869565,136698.04347826086,15.533333333333333,48853.92109400073
2013-09-16,7.992999999999999,390958.8043478261,-0.6,160459.29347826086,206463.10869565216,136734.47826086957,15.5,48912.64911145079
2013-09-17,7.992999999999999,391428.2173913043,-0.6,160562.6739130435,206885.4347826087,136770.91304347827,15.466666666666667,48971.37712890083
2013-09-18,7.992999999999999,391897.6304347826,-0.6,160666.05434782608,207307.76086956522,136807.34782608695,15.433333333333334,49030.105146350885
2013-09-19,7.992999999999999,392367.04347826086,-0.6,160769.4347826087,207730.08695652173,136843.78260869565,15.4,49088.83316380094
2013-09-20,7.992999999999999,392836.45652173914,-0.6,160872.8152173913,208152.41304347827,136880.21739130435,15.366666666666667,49147.56118125099
2013-09-21,7.992999999999999,393305.8695652174,-0.6,160976.19565217392,208574.73913043478,136916.65217391305,15.333333333333334,49206.289198701044
2013-09-22,7.992999999999999,393775.2826086957,-0.6,161079.5760869565,208997.0652173913,136953.08695652173,15.3,49265.01721615109
2013-09-23,7.992999999999999,394244.6956521739,-0.6,161182.95652173914,209419.39130434784,136989.52173913043,15.266666666666667,49323.74523360114
2013-09-24,7.992999999999999,394714.10869565216,-0.6,161286.33695652173,209841.71739130435,137025.95652173914,15.233333333333334,49382.4732510512
2013-09-25,7.992999999999999,395183.52173913043,-0.6,161389.71739130435,210264.04347826086,137062.39130434784,15.2,49441.201268501245
2013-09-26,7.992999999999999,395652.9347826087,-0.6,161493.09782608695,210686.3695652174,137098.8260869565,15.166666666666666,49499.9292859513
2013-09-27,7.992999999999999,396122.347826087,-0.6,161596.47826086957,211108.69565217392,137135.26086956522,15.133333333333333,49558.65730340135
2013-09-28,7.992999999999999,396591.7608695652,-0.6,161699.85869565216,211531.02173913043,137171.69565217392,15.1,49617.3853208514
2013-09-29,7.992999999999999,397061.17391304346,-0.6,161803.23913043478,211953.34782608697,137208.13043478262,15.066666666666666,49676.11333830145
2013-09-30,7.992999999999999,397530.5869565217,-0.6,161906.6195652174,212375.6739130435,137244.5652173913,15.033333333333333,49734.8413557515
2013-10-01,7.992999999999999,398000.0,-0.6,162010.0,212798.0,137281.0,15.0,49793.56937320156
2013-10-02,7.992999999999999,398115.5543478261,-0.5870967741935483,162048.3152173913,212713.89130434784,137333.15217391305,15.0,49808.02631650521
2013-10-03,7.992999999999999,398231.10869565216,-0.5741935483870968,162086.63043478262,212629.78260869565,137385.30434782608,15.0,49822.483259808854
2013-10-04,7.992999999999999,398346.6630434783,-0.5612903225806452,162124.94565217392,212545.6739130435,137437.45652173914,15.0,49836.940203112514
2013-10-05,7.992999999999999,398462.2173913043,-0.5483870967741935,162163.26086956522,212461.5652173913,137489.60869565216,15.0,49851.39714641616
2013-10-06,7.992999999999999,398577.77173913043,-0.5354838709677419,162201.5760869565,212377.45652173914,137541.76086956522,15.0,49865.85408971981
2013-10-07,7.992999999999999,398693.32608695654,-0.5225806451612903,162239.89130434784,212293.34782608695,137593.91304347827,15.0,49880.31103302347
2013-10-08,7.992999999999999,398808.8804347826,-0.5096774193548387,162278.20652173914,212209.23913043478,137646.0652173913,15.0,49894.767976327115
2013-10-09,7.992999999999999,398924.4347826087,-0.4967741935483871,162316.52173913043,212125.13043478262,137698.21739130435,15.0,49909.22491963077
2013-10-10,7.992999999999999,399039.98913043475,-0.4838709677419355,162354.83695652173,212041.02173913043,137750.36956521738,15.0,49923.68186293441
2013-10-11,7.992999999999999,399155.54347826086,-0.47096774193548385,162393.15217391305,211956.91304347827,137802.52173913043,15.0,49938.13880623807
2013-10-12,7.992999999999999,399271.097826087,-0.45806451612903226,162431.46739130435,211872.80434782608,137854.6739130435,15.0,49952.595749541724
2013-10-13,7.992999999999999,399386.652173913,-0.44516129032258067,162469.78260869565,211788.69565217392,137906.8260869565,15.0,49967.05269284537
2013-10-14,7.992999999999999,399502.20652173914,-0.432258064516129,162508.09782608695,211704.58695652173,137958.97826086957,15.0,49981.50963614903
2013-10-15,7.992999999999999,399617.76086956525,-0.41935483870967744,162546.41304347827,211620.47826086957,138011.13043478262,15.0,49995.96657945268
2013-10-16,7.992999999999999,399733.3152173913,-0.40645161290322585,162584.72826086957,211536.36956521738,138063.28260869565,15.0,50010.423522756326
2013-10-17,7.992999999999999,399848.8695652174,-0.3935483870967742,162623.04347826086,211452.26086956522,138115.4347826087,15.0,50024.880466059985
2013-10-18,7.992999999999999,399964.42391304346,-0.38064516129032255,162661.35869565216,211368.15217391305,138167.58695652173,15.0,50039.33740936363
2013-10-19,7.992999999999999,400079.97826086957,-0.36774193548387096,162699.6739130435,211284.04347826086,138219.73913043478,15.0,50053.79435266728
2013-10-20,7.992999999999999,400195.5326086957,-0.3548387096774194,162737.98913043478,211199.9347826087,138271.89130434784,15.0,50068.251295970935
2013-10-21,7.992999999999999,400311.0869565217,-0.3419354838709677,162776.30434782608,211115.8260869565,138324.04347826086,15.0,50082.70823927459
2013-10-22,7.992999999999999,400426.64130434784,-0.32903225806451614,162814.61956521738,211031.71739130435,138376.19565217392,15.0,50097.16518257824
